ballet,measure_num,movements_in_measure,unique_body_movements_in_measure,unique_directions_in_measure,repetition_index,direction_diversity_index,year,choreographer,nationality
artifact,1,18,6,6,0.6666666666666667,0.3333333333333333,1984,william_forsythe,american
artifact,2,19,8,5,0.5789473684210527,0.2631578947368421,1984,william_forsythe,american
artifact,3,8,4,4,0.5,0.5,1984,william_forsythe,american
artifact,4,10,5,5,0.5,0.5,1984,william_forsythe,american
artifact,5,9,8,4,0.11111111111111116,0.4444444444444444,1984,william_forsythe,american
artifact,6,7,5,4,0.2857142857142857,0.5714285714285714,1984,william_forsythe,american
artifact,7,11,7,5,0.36363636363636365,0.45454545454545453,1984,william_forsythe,american
artifact,8,3,2,2,0.33333333333333337,0.6666666666666666,1984,william_forsythe,american
